userid,LastName,FirstName,Age,Gender,City
15720248,Ширяева,Акулина,22,Ж,Рыбинск
15668850,Емельянов,Аникей,24,М,Ярославль
15853570,Богданова,Майя,57,Ж,Рыбинск
15721646,Григорьева,Елизавета,30,Ж,Ярославль
15737144,Андреев,Мартьян,40,М,Ярославль
15627951,Шашкова,Валерия,31,Ж,Ярославль
15725493,Мясников,Зосима,30,М,Ярославль
15779337,Сазонов,Аркадий,35,М,Ярославль
15644584,Зыков,Валерий,35,М,Ярославль
15778744,Фокина,Анна,46,Ж,Ярославль
15711800,Кузьмин,Терентий,35,М,Ростов Великий
15667264,Гущин,Остромир,26,М,Ростов Великий
15641229,Назаров,Силантий,50,М,Ярославль
15644010,Мишина,Феврония,40,Ж,Рыбинск
15745405,Нестеров,Мстислав,44,М,Ростов Великий
15771405,Брагина,Октябрина,30,Ж,Ростов Великий
15785404,Зыкова,Варвара,37,Ж,Рыбинск
15740177,Костин,Любим,29,М,Ярославль
15783212,Ситникова,Прасковья,32,Ж,Ростов Великий
15690800,Абрамов,Аникей,33,М,Ярославль
15679360,Денисова,Клавдия,39,Ж,Рыбинск
15850659,Горбачева,Жанна,39,Ж,Ростов Великий
15788580,Савина,Нинель,40,Ж,Ростов Великий
15828906,Медведев,Мартын,31,М,Ярославль
15723817,Киселева,Лукия,47,Ж,Рыбинск
15727220,Алексеев,Евгений,22,М,Ярославль
15828605,Михайлова,Агафья,25,Ж,Ярославль
15806595,Самсонова,Екатерина,43,Ж,Ярославль
15701671,Авдеева,Иванна,34,Ж,Ростов Великий
15790094,Дорофеев,Мирон,59,М,Ростов Великий
15777939,Мартынова,Иванна,32,Ж,Ростов Великий
15618992,Максимов,Измаил,39,М,Ярославль
15702156,Пахомов,Игнатий,32,М,Рыбинск
15636101,Кабанов,Георгий,39,М,Рыбинск
15820088,Голубева,Полина,32,Ж,Рыбинск
15854743,Волков,Андрей,25,М,Рыбинск
15668197,Муравьева,Ольга,45,Ж,Ярославль
15782174,Наумов,Андрон,30,М,Ярославль
15654495,Боброва,Клавдия,57,Ж,Рыбинск
15704365,Потапов,Сидор,34,М,Рыбинск
15676686,Стрелков,Евстигней,41,М,Ярославль
15635122,Шубин,Трофим,58,М,Ярославль
15846452,Гордеев,Феоктист,28,М,Рыбинск
15739410,Рожкова,Лора,45,Ж,Ростов Великий
15749101,Рожкова,Элеонора,50,Ж,Ярославль
15787824,Сазонова,Кира,29,Ж,Ростов Великий
15719451,Муравьев,Самсон,68,М,Ярославль
15655821,Суворова,Зоя,33,Ж,Рыбинск
15676273,Виноградова,Людмила,42,Ж,Ростов Великий
15637456,Борисова,Евдокия,35,Ж,Ростов Великий
15726778,Емельянов,Семен,34,М,Ростов Великий
15626039,Симонова,Прасковья,29,Ж,Ярославль
15654315,Голубев,Феоктист,42,М,Рыбинск
15817432,Воронцова,Галина,75,Ж,Ростов Великий
15737242,Гордеев,Святополк,31,М,Ростов Великий
15730810,Кошелев,Устин,31,М,Ростов Великий
15802273,Калашников,Пров,35,М,Ростов Великий
15801185,Федорова,Майя,39,Ж,Ярославль
15626192,Игнатьев,Виссарион,45,М,Ростов Великий
15710607,Максимов,Ермил,35,М,Рыбинск
15720107,Антонова,Элеонора,30,Ж,Рыбинск
15672413,Суханова,Полина,39,Ж,Рыбинск
15756314,Филатова,Ирина,50,Ж,Ярославль
15634245,Родионов,Ефим,36,М,Ярославль
15610976,Коновалова,Клавдия,30,Ж,Ростов Великий
15665729,Кудряшов,Всеслав,28,М,Ростов Великий
15732030,Виноградов,Фома,44,М,Ростов Великий
15763646,Романова,Тамара,66,Ж,Ярославль
15763917,Ковалев,Мефодий,46,М,Рыбинск
15819169,Тимофеев,Лонгин,62,М,Рыбинск
15791672,Гришина,Раиса,45,Ж,Рыбинск
15759961,Фокина,Людмила,21,Ж,Ярославль
15727962,Макарова,Татьяна,29,Ж,Ростов Великий
15828347,Лукин,Мариан,38,М,Ростов Великий
15616192,Панфилов,Давыд,46,М,Рыбинск
15727284,Пономарев,Трифон,38,М,Рыбинск
15663241,Зайцева,Ульяна,24,Ж,Рыбинск
15850168,Кабанова,Агата,37,Ж,Ростов Великий
15627502,Пономарев,Аркадий,33,М,Ярославль
15654923,Федотов,Пимен,32,М,Ростов Великий
15804954,Белоусова,Оксана,39,Ж,Ярославль
15689108,Лебедева,Алла,66,Ж,Ярославль
15733188,Гусев,Игнатий,52,М,Ярославль
15790531,Кондратьева,Лидия,38,Ж,Ростов Великий
15824325,Агафонов,Иосиф,52,М,Рыбинск
15775410,Быков,Мечислав,36,М,Рыбинск
15685027,Комаров,Елизар,23,М,Ярославль
15735497,Егоров,Арефий,36,М,Ярославль
15620781,Нестерова,Агата,49,Ж,Рыбинск
15788090,Владимирова,Ираида,37,Ж,Рыбинск
15744112,Горшков,Сильвестр,37,М,Ростов Великий
15734361,Ковалева,Анастасия,41,Ж,Ростов Великий
15609330,Зиновьев,Ярополк,23,М,Рыбинск
15803167,Чернов,Лаврентий,38,М,Ярославль
15729038,Ковалева,Анастасия,31,Ж,Рыбинск
15844295,Матвеева,София,41,Ж,Ростов Великий
15853168,Зимин,Касьян,35,М,Рыбинск
15852352,Рыбаков,Виктор,26,М,Рыбинск
15763295,Жданова,Мария,61,Ж,Ростов Великий
15738368,Калинина,Анастасия,39,Ж,Ярославль
15702579,Чернова,Антонина,46,Ж,Ярославль
15658360,Логинова,Елена,28,Ж,Ярославль
15853154,Большакова,Лора,60,Ж,Ростов Великий
15758922,Новикова,Антонина,38,Ж,Ярославль
15717287,Корнилов,Богдан,40,М,Ростов Великий
15665570,Мишина,Людмила,35,Ж,Ярославль
15608847,Артемьев,Сигизмунд,39,М,Ярославль
15827333,Емельянов,Руслан,26,М,Ярославль
15695619,Егоров,Ян,39,М,Ростов Великий
15849700,Рогов,Эммануил,45,М,Ярославль
15619049,Капустина,Ираида,40,Ж,Ростов Великий
15849203,Гусев,Герман,40,М,Ростов Великий
15640338,Крылов,Гремислав,57,М,Ростов Великий
15785776,Крюков,Алексей,41,М,Ростов Великий
15748257,Белова,Татьяна,33,Ж,Ростов Великий
15637775,Сазонова,Таисия,37,Ж,Ростов Великий
15842120,Беляев,Иван,33,М,Ярославль
15623933,Авдеева,Василиса,51,Ж,Ярославль
15736473,Яковлева,Светлана,30,Ж,Ростов Великий
15667359,Кириллов,Доброслав,35,М,Ярославль
15826237,Силина,Полина,38,Ж,Ярославль
15732870,Богданова,Фёкла,42,Ж,Ростов Великий
15825471,Карпова,Елена,35,Ж,Ярославль
15653824,Ширяева,Ираида,31,Ж,Ярославль
15714881,Блинова,Евфросиния,34,Ж,Ярославль
15775364,Борисов,Моисей,46,М,Ярославль
15830206,Журавлев,Севастьян,47,М,Рыбинск
15846142,Наумова,Милица,26,Ж,Ярославль
15773196,Носков,Гаврила,37,М,Ярославль
15687308,Кабанов,Орест,40,М,Ярославль
15737596,Сысоева,Тамара,38,Ж,Ярославль
15700905,Устинова,Ангелина,47,Ж,Рыбинск
15837132,Кузьмина,Ольга,38,Ж,Ростов Великий
15828534,Казаков,Сергей,40,М,Ярославль
15753561,Кудрявцев,Соломон,31,М,Рыбинск
15711180,Бирюкова,Нинель,44,Ж,Рыбинск
15769367,Сазонова,Ольга,39,Ж,Ярославль
15776533,Анисимов,Иннокентий,36,М,Ярославль
15790696,Кудрявцев,Ладимир,33,М,Ярославль
15677368,Журавлев,Фотий,38,М,Ярославль
15750098,Михайлов,Сильвестр,43,М,Ростов Великий
15705712,Гуляев,Игнатий,37,М,Рыбинск
15775514,Воробьев,Амос,29,М,Ростов Великий
15761179,Сергеев,Стоян,39,М,Ярославль
15712775,Ермакова,Милица,25,Ж,Рыбинск
15816528,Дементьева,Юлия,32,Ж,Ярославль
15656522,Евдокимов,Ювеналий,26,М,Рыбинск
15768768,Воробьев,Леонид,33,М,Ярославль
15705988,Антонова,Елена,32,Ж,Рыбинск
15636518,Панфилова,Евдокия,38,Ж,Ростов Великий
15676019,Рябов,Сила,35,М,Ярославль
15791903,Чернов,Григорий,35,М,Ярославль
15802034,Селиверстов,Анисим,27,М,Рыбинск
15726361,Кузьмин,Лев,37,М,Ярославль
15678103,Мишин,Ермолай,26,М,Ярославль
15724441,Лебедев,Валерий,28,М,Ярославль
15645892,Романова,Анжелика,33,Ж,Ярославль
15634722,Зимин,Мокей,46,М,Ростов Великий
15841624,Панова,Лариса,31,Ж,Ростов Великий
15852458,Жукова,Светлана,40,Ж,Ярославль
15720274,Селезнев,Радован,38,М,Ярославль
15840472,Макаров,Герман,29,М,Ярославль
15738321,Блохин,Феофан,34,М,Рыбинск
15787134,Шарова,Василиса,23,Ж,Ярославль
15793394,Горбунов,Терентий,37,М,Ярославль
15620922,Гурьев,Дмитрий,37,М,Ростов Великий
15719255,Михайлов,Кир,61,М,Рыбинск
15680690,Галкина,Акулина,35,Ж,Ярославль
15801375,Степанов,Любим,37,М,Ярославль
15656508,Сорокин,Ипат,39,М,Ярославль
15774480,Федотов,Олимпий,30,М,Ярославль
15850445,Якушева,Олимпиада,55,Ж,Ростов Великий
15757425,Егоров,Азарий,29,М,Рыбинск
15741741,Власова,Элеонора,41,Ж,Ярославль
15666906,Зыкова,Елена,38,Ж,Ярославль
15768415,Самсонова,Маргарита,47,Ж,Ярославль
15628601,Назарова,Елизавета,38,Ж,Ярославль
15846992,Уваров,Ярослав,36,М,Ростов Великий
15705139,Сафонова,Нинель,32,Ж,Ярославль
15776352,Белозеров,Поликарп,40,М,Ярославль
15634731,Суворов,Виталий,26,М,Ростов Великий
15719756,Дроздова,Любовь,58,Ж,Ярославль
15770424,Баранов,Боян,32,М,Рыбинск
15758677,Симонов,Варфоломей,54,М,Ярославль
15757221,Орлов,Василий,60,М,Ярославль
15772795,Уваров,Егор,44,М,Рыбинск
15758263,Хохлова,Антонина,41,Ж,Рыбинск
15619359,Лазарев,Леонид,31,М,Ярославль
15848301,Носков,Евгений,30,М,Ростов Великий
15720043,Пономарева,Виктория,40,Ж,Ростов Великий
15816626,Комиссаров,Януарий,22,М,Ярославль
15641619,Фролова,Глафира,37,Ж,Рыбинск
15611242,Хохлова,София,31,Ж,Ростов Великий
15803779,Бурова,Милица,38,Ж,Ростов Великий
15824972,Воробьев,Антип,34,М,Рыбинск
15636337,Артемьев,Давыд,34,М,Ярославль
15724784,Зайцева,Елизавета,51,Ж,Ярославль
15789638,Марков,Венедикт,38,М,Рыбинск
15794817,Савельева,Нина,56,Ж,Ярославль
15824043,Куликов,Руслан,37,М,Ростов Великий
15818648,Авдеев,Самуил,48,М,Ярославль
15788153,Лаврентьев,Карп,58,М,Ярославль
15713992,Бобылева,Юлия,35,Ж,Ярославль
15696283,Кузьмин,Максим,56,М,Ярославль
15638502,Кудрявцев,Валентин,37,М,Рыбинск
15785094,Фомин,Твердислав,32,М,Ростов Великий
15806010,Некрасов,Борис,48,М,Ярославль
15828799,Макарова,Наталья,31,Ж,Ярославль
15642994,Ефимов,Фрол,43,М,Ярославль
15616054,Козлов,Герасим,26,М,Ярославль
15696585,Никонова,Юлия,48,Ж,Ростов Великий
15737008,Королев,Сила,30,М,Ярославль
15778848,Карпова,Полина,57,Ж,Рыбинск
